global_rank,daily_tier,daily_priority_score,node_id,lat,lon,connected_way_names,connected_highway_tags,degree_merged,intersection_priority,visibility_score,sign_value,route_bucket,priority_reason,canvass_order,suggested_day,recommended_action
363,C,14,-80946219:44591988,44.5919878,-80.9462193,4th Avenue West | 28th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
364,C,14,-80946488:44548822,44.5488221,-80.9464882,1st Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
365,C,14,-80946618:44590776,44.5907762,-80.9466185,27th Street West | 4th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
366,C,14,-80946745:44563448,44.5634475,-80.9467452,8th Street West | 3rd Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
367,C,14,-80946884:44549653,44.5496533,-80.9468836,1st Street A West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
368,C,14,-80946900:44563432,44.5634315,-80.9469001,3rd Avenue West | 8th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
369,C,14,-80947208:44550721,44.5507208,-80.9472079,5th Avenue West | 2nd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
370,C,14,-80947329:44557632,44.557632,-80.9473288,5th Street West | 4th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
371,C,14,-80947369:44551455,44.5514549,-80.9473694,2nd Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
372,C,14,-80947438:44563368,44.5633677,-80.9474377,8th Street West | 3rd Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
373,C,14,-80947626:44552455,44.5524545,-80.9476258,2nd Street A West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
374,C,14,-80947686:44592233,44.5922333,-80.9476855,28th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
375,C,14,-80947913:44583771,44.583771,-80.9479127,3rd Avenue A West | 22nd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 25,flyer-only / later saturation
376,C,14,-80948056:44571439,44.5714393,-80.9480563,2nd Avenue A West | 12th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
377,C,14,-80948096:44591020,44.5910197,-80.9480963,27th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
378,C,14,-80948202:44561337,44.5613368,-80.9482025,4th Avenue West | 7th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
379,C,14,-80948215:44569015,44.5690153,-80.9482151,11th Street West | 3rd Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
380,C,14,-80948237:44572331,44.5723312,-80.9482367,13th Street West | 2nd Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
381,C,14,-80948240:44581244,44.5812436,-80.9482398,20th Street West | 21st Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
382,C,14,-80948284:44583830,44.5838304,-80.9482843,3rd Avenue A West | 22nd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
383,C,14,-80948330:44555195,44.5551946,-80.9483301,4th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
384,C,14,-80948363:44557513,44.5575125,-80.9483635,5th Street West | 4th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
385,C,14,-80948492:44554168,44.5541677,-80.9484924,3rd Street A West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
386,C,14,-80948510:44589800,44.5897996,-80.9485105,26th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
387,C,14,-80948584:44548496,44.5484957,-80.9485841,1st Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
388,C,14,-80948591:44550566,44.5505664,-80.9485907,5th Avenue A West | 2nd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
389,C,14,-80948633:44558459,44.5584588,-80.9486326,5th Street A West | 4th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
390,C,14,-80948650:44563221,44.5632214,-80.9486496,4th Avenue West | 8th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 26,flyer-only / later saturation
391,C,14,-80948800:44571351,44.5713508,-80.9487995,12th Street West | 3rd Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
392,C,14,-80948822:44593704,44.5937044,-80.9488222,6th Avenue West | 29th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
393,C,14,-80948976:44552321,44.5523211,-80.9489763,5th Avenue A West | 2nd Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
394,C,14,-80949007:44578720,44.5787196,-80.9490075,3rd Avenue West | 18th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
395,C,14,-80949161:44592512,44.5925121,-80.9491614,28th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
396,C,14,-80949215:44549452,44.5494519,-80.9492154,1st Street A West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
397,C,14,-80949226:44553181,44.5531812,-80.949226,3rd Street West | 5th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
398,C,14,-80949283:44554089,44.554089,-80.9492832,3rd Street A West | 5th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
399,C,14,-80949402:44561197,44.5611974,-80.9494017,7th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
400,C,14,-80949414:44555072,44.5550716,-80.9494145,4th Street West | 5th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
401,C,14,-80949415:44577500,44.5775004,-80.9494151,3rd Avenue West | 17th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
402,C,14,-80949430:44571276,44.5712758,-80.9494297,12th Street West | 3rd Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
403,C,14,-80949589:44563127,44.5631266,-80.9495888,8th Street West | 4th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
404,C,14,-80949619:44572171,44.5721713,-80.9496193,13th Street West | 3rd Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
405,C,14,-80949793:44586095,44.5860951,-80.949793,23rd Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 27,flyer-only / later saturation
406,C,14,-80949842:44576259,44.5762591,-80.949842,3rd Avenue West | 16th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
407,C,14,-80949928:44559019,44.5590189,-80.9499279,5th Avenue West | 6th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
408,C,14,-80949941:44559721,44.5597207,-80.949941,5th Avenue A West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
409,C,14,-80949986:44590053,44.5900533,-80.9499859,6th Avenue West | 26th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
410,C,14,-80949993:44585410,44.5854098,-80.9499933,5th Avenue West | 23rd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
411,C,14,-80950049:44557859,44.5578594,-80.9500494,5th Avenue West | 5th Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
412,C,14,-80950168:44552187,44.5521872,-80.9501682,6th Avenue West | 2nd Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
413,C,14,-80950368:44584173,44.5841734,-80.9503676,5th Avenue West | 22nd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
414,C,14,-80950619:44563010,44.5630095,-80.9506185,8th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
415,C,14,-80950723:44568719,44.5687187,-80.9507229,11th Street West | 4th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
416,C,14,-80950747:44582907,44.5829074,-80.9507469,5th Avenue West | 21st Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
417,C,14,-80950788:44555740,44.5557404,-80.9507878,4th Street A West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
418,C,14,-80950982:44561021,44.5610214,-80.9509818,5th Avenue A West | 7th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
419,C,14,-80951128:44581715,44.5817153,-80.9511277,20th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
420,C,14,-80951224:44586314,44.5863136,-80.9512236,6th Avenue West | 23rd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 28,flyer-only / later saturation
421,C,14,-80951236:44565819,44.565819,-80.951236,9th Street A West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
422,C,14,-80951310:44557183,44.5571826,-80.95131,5th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
423,C,14,-80951558:44580456,44.5804556,-80.9515584,19th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
424,C,14,-80951705:44558709,44.5587085,-80.9517047,6th Avenue West | 6th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
425,C,14,-80951796:44584418,44.5844184,-80.9517958,22nd Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
426,C,14,-80951874:44574799,44.5747994,-80.9518745,15th Street West | 4th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
427,C,14,-80951949:44579248,44.5792475,-80.9519493,18th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
428,C,14,-80951963:44565743,44.5657432,-80.9519628,9th Street A West | 5th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
429,C,14,-80952201:44560886,44.5608857,-80.9522011,7th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
430,C,14,-80952220:44560971,44.5609706,-80.9522204,7th Avenue West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
431,C,14,-80952245:44583158,44.583158,-80.9522446,6th Avenue West | 21st Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
432,C,14,-80952364:44577996,44.5779955,-80.9523641,17th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
433,C,14,-80952427:44570121,44.5701209,-80.952427,11th Street B West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
434,C,14,-80952634:44581951,44.581951,-80.9526345,6th Avenue West | 20th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
435,C,14,-80952639:44570903,44.5709027,-80.9526391,12th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 29,flyer-only / later saturation
436,C,14,-80952640:44562776,44.5627757,-80.9526397,8th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
437,C,14,-80952718:44586559,44.5865587,-80.952718,23rd Street West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
438,C,14,-80952771:44576751,44.5767506,-80.9527715,16th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
439,C,14,-80953022:44580702,44.5807023,-80.9530219,6th Avenue West | 19th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
440,C,14,-80953276:44584665,44.5846654,-80.9532756,22nd Street West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
441,C,14,-80953281:44565590,44.5655895,-80.9532806,6th Avenue West | 9th Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
442,C,14,-80953408:44579524,44.5795237,-80.9534078,6th Avenue West | 18th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
443,C,14,-80953480:44576865,44.5768651,-80.9534798,16th Street West | 5th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
444,C,14,-80953520:44574461,44.5744612,-80.9535198,15th Street West | 5th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
445,C,14,-80953648:44567264,44.5672641,-80.9536479,10th Street A West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
446,C,14,-80953908:44568365,44.5683649,-80.9539083,11th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
447,C,14,-80953973:44568811,44.568811,-80.953973,6th Avenue West | 11th Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
448,C,14,-80954077:44582185,44.5821851,-80.9540767,20th Street West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
449,C,14,-80954173:44586810,44.5868099,-80.9541726,8 Avenue West | 23rd Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
450,C,14,-80954225:44576987,44.5769869,-80.9542248,16th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 30,flyer-only / later saturation
451,C,14,-80954235:44574656,44.5746563,-80.9542348,15th Street West | 5th Avenue A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
452,C,14,-80954405:44570703,44.5707028,-80.9544047,12th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
453,C,14,-80954419:44562570,44.5625701,-80.9544189,7th Avenue West | 8th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
454,C,14,-80954507:44562586,44.5625861,-80.9545069,7th Avenue West | 8th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
455,C,14,-80954538:44580966,44.5809656,-80.954538,19th Street West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
456,C,14,-80954620:44571613,44.5716126,-80.95462,6th Avenue West | 13th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
457,C,14,-80954885:44579773,44.579773,-80.9548848,7th Avenue West | 18th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
458,C,14,-80954937:44574882,44.5748817,-80.9549375,6th Avenue West | 15th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
459,C,14,-80955274:44578468,44.5784681,-80.9552745,7th Avenue West | 17th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
460,C,14,-80955597:44582440,44.5824396,-80.9555971,20th Street West | 8 Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
461,C,14,-80955698:44577244,44.5772439,-80.9556981,7th Avenue West | 16th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
462,C,14,-80956002:44581198,44.5811976,-80.9560022,8 Avenue West | 19th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
463,C,14,-80956175:44575831,44.5758306,-80.9561749,7th Avenue West | 15th Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
464,C,14,-80956329:44575153,44.5751525,-80.9563287,15th Street West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
465,C,14,-80956843:44572690,44.5726904,-80.9568434,6th Avenue West | 13th Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 31,flyer-only / later saturation
466,C,14,-80956957:44578244,44.5782435,-80.9569569,8 Avenue West | 16th Street A West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
467,C,14,-80957005:44573775,44.5737748,-80.9570052,14th Street West | 6th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
468,C,14,-80957199:44577483,44.5774827,-80.9571986,8 Avenue West | 16th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
469,C,14,-80957660:44567931,44.5679311,-80.9576595,11th Street West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
470,C,14,-80957850:44570683,44.5706833,-80.95785,7th Avenue A West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
471,C,14,-80957911:44573725,44.5737251,-80.9579108,6th Avenue West | 14th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
472,C,14,-80958006:44572039,44.5720386,-80.9580059,7th Avenue A West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
473,C,14,-80958826:44572473,44.5724731,-80.9588256,8th Avenue West | 7th Avenue West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
474,C,14,-80959368:44573679,44.5736785,-80.9593677,7th Avenue West | 14th Street West,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
475,C,14,-80959885:44574277,44.574277,-80.9598855,7th Avenue West | Henderson's Bridge,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
476,C,14,-80960078:44574355,44.5743548,-80.9600776,14th Street West | Henderson's Bridge,residential,2,D,59,medium,local residential corner,multiple street-front exposures; mostly local-street exposure,4,Day 32,flyer-only / later saturation
