global_rank,daily_tier,daily_priority_score,canonical_intersection_name,display_intersection_name,canonical_intersection_key,representative_lat,representative_lon,connected_highway_tags,degree_merged,intersection_priority,visibility_score,sign_value,route_bucket,recommended_action,priority_reason,suggested_day,merged_count,merged_node_ids,flyer_delivered,flyer_date,knock_due_date,knocked,knock_date,response,sign_followup,sign_permission,followup_notes
20,S,130,15th St A E & 9th Ave E,15th Street A East & 9th Avenue East,15th st a e + 9th ave e,44.5720207,-80.9276148,primary | residential,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 2,1,-80927615:44572021,,,,,,,,,
21,A,130,15th St E & 9th Ave E,15th Street East & 9th Avenue East,15th st e + 9th ave e,44.569964,-80.9284441,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 2,1,-80928444:44569964,,,,,,,,,
22,A,130,15th St W & 3rd Ave W & 4th Ave W,3rd Avenue West & 4th Avenue West & 15th Street West,15th st w + 3rd ave w + 4th ave w,44.57484325,-80.95165080000001,residential | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures ; multiple street-front exposures; mostly local-street exposure,Day 2,2,-80951427:44574887 | -80951874:44574799,,,,,,,,,
23,A,130,16th Ave E & 16th St E,16th Street East & 16th Avenue East,16th ave e + 16th st e,44.57481115,-80.91634739999999,primary | tertiary | unclassified,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 2,4,-80916294:44574780 | -80916306:44574852 | -80916382:44574771 | -80916407:44574843,,,,,,,,,
24,A,130,16th Ave E & 20th St E & 23rd St E,20th Street East & 23rd Street East & 16th Avenue East,16th ave e + 20th st e + 23rd st e,44.5817581,-80.9180844,tertiary | unclassified,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 2,1,-80918084:44581758,,,,,,,,,
25,A,130,16th St E & 18th Ave E,18th Avenue East & 16th Street East,16th st e + 18th ave e,44.575192325,-80.913110075,primary | tertiary | unclassified,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 2,4,-80913024:44575155 | -80913041:44575246 | -80913182:44575143 | -80913194:44575226,,,,,,,,,
26,A,130,16th St E & 20th Ave E,20th Avenue East & 16th Street East,16th st e + 20th ave e,44.5757839,-80.9077024,primary | unclassified,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 2,1,-80907702:44575784,,,,,,,,,
27,A,130,16th St E & 27th Ave E,16th Street East & 27th Avenue East,16th st e + 27th ave e,44.5769102,-80.8980521,primary | residential,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 2,1,-80898052:44576910,,,,,,,,,
28,A,130,16th St E & 28th Ave E & Highway 26,28th Avenue East & 16th Street East & Highway 26,16th st e + 28th ave e + highway 26,44.577267,-80.8952565,primary | secondary | tertiary,3,A,100,high,highest visibility corner,visit first; highest sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 2,1,-80895256:44577267,,,,,,,,,
29,A,130,16th St E & 9th Ave E,9th Avenue East & 16th Street East,16th st e + 9th ave e,44.5738586,-80.9268984,primary | residential | tertiary,2,A,100,high,highest visibility corner,visit first; highest sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 2,1,-80926898:44573859,,,,,,,,,
