global_rank,daily_tier,daily_priority_score,canonical_intersection_name,display_intersection_name,canonical_intersection_key,representative_lat,representative_lon,connected_highway_tags,degree_merged,intersection_priority,visibility_score,sign_value,route_bucket,recommended_action,priority_reason,suggested_day,merged_count,merged_node_ids,flyer_delivered,flyer_date,knock_due_date,knocked,knock_date,response,sign_followup,sign_permission,followup_notes
79,B,128,2nd Ave E & 4th St E,2nd Avenue East & 4th Street East,2nd ave e + 4th st e,44.5565501,-80.9407346,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80940735:44556550,,,,,,,,,
80,B,128,2nd Ave E & 4th St W,4th Street West & 2nd Avenue East,2nd ave e + 4th st w,44.5569532,-80.9408197,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80940820:44556953,,,,,,,,,
81,B,128,2nd Ave E & 5th St E,2nd Avenue East & 5th Street East,2nd ave e + 5th st e,44.5585676,-80.9411929,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,2,-80941106:44558223 | -80941280:44558913,,,,,,,,,
82,B,128,2nd Ave E & Beattie St,2nd Avenue East & Beattie Street,2nd ave e + beattie st,44.554335,-80.9402645,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80940264:44554335,,,,,,,,,
83,B,128,3rd Ave E & 6th St E,3rd Avenue East & 6th Street East,3rd ave e + 6th st e,44.5603665,-80.9396889,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80939689:44560367,,,,,,,,,
84,B,128,3rd Ave E & 7th St E,3rd Avenue East & 7th Street East,3rd ave e + 7th st e,44.5622615,-80.9401188,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80940119:44562262,,,,,,,,,
85,B,128,4th Ave E & 6th St E,6th Street East & 4th Avenue East,4th ave e + 6th st e,44.5605728,-80.9378634,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80937863:44560573,,,,,,,,,
86,B,128,5th Ave E & 6th St E,6th Street East & 5th Avenue East,5th ave e + 6th st e,44.5606842,-80.9368684,residential | secondary,2,A,98,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80936868:44560684,,,,,,,,,
87,B,128,6th St E & 7th Ave E,6th Street East & 7th Avenue East,6th st e + 7th ave e,44.561279299999995,-80.93162595000001,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,2,-80931376:44561309 | -80931876:44561250,,,,,,,,,
88,B,128,6th St E & 8th Ave E,6th Street East & 8th Avenue East,6th st e + 8th ave e,44.5616259,-80.928704,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80928704:44561626,,,,,,,,,
89,B,128,8th St E & 9th Ave A E,9th Avenue A East & 8th Street East,8th st e + 9th ave a e,44.5659396,-80.9250387,residential | secondary,2,A,98,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,1,-80925039:44565940,,,,,,,,,
90,B,126,10th St E & Lamson Crescent,Lamson Crescent & 10th Street East,10th st e + lamson crescent,44.57022815,-80.92151,residential | tertiary,3,A,96,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 6,2,-80921073:44570273 | -80921947:44570184,,,,,,,,,
91,B,119,26th St E & 9th Ave E,9th Avenue East & 26th Street East,26th st e + 9th ave e,44.5907467,-80.9195133,residential | tertiary | unclassified,2,A,89,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80919513:44590747,,,,,,,,,
92,B,116,10th Ave E & 10th St E,10th Avenue East & 10th Street East,10th ave e + 10th st e,44.5698361,-80.9250872,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80925087:44569836,,,,,,,,,
93,B,116,10th Ave E & 10th St E,10th Avenue East & 10th Street East,10th ave e + 10th st e,44.5696584,-80.9266144,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80926614:44569658,,,,,,,,,
94,B,116,10th St E & 11th Ave E,11th Avenue East & 10th Street East,10th st e + 11th ave e,44.5699752,-80.923802,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80923802:44569975,,,,,,,,,
95,B,116,11th St A W & 4th Ave W,4th Avenue West & 11th Street A West,11th st a w + 4th ave w,44.5696571,-80.9500676,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80950068:44569657,,,,,,,,,
96,B,116,11th St B W & 4th Ave W,4th Avenue West & 11th Street B West,11th st b w + 4th ave w,44.5702928,-80.9502174,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80950217:44570293,,,,,,,,,
97,B,116,11th St W & 4th Ave W,11th Street West & 4th Avenue West,11th st w + 4th ave w,44.568817,-80.9498729,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80949873:44568817,,,,,,,,,
98,B,116,11th St W & Alpha St,Alpha Street & 11th Street West,11th st w + alpha st,44.5676762,-80.9602819,residential | tertiary,2,B,86,high,highest visibility corner,flyer-only / later saturation,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80960282:44567676,,,,,,,,,
99,B,116,12th St W & 4th Ave W,4th Avenue West & 12th Street West,12th st w + 4th ave w,44.5711538,-80.9504124,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80950412:44571154,,,,,,,,,
100,B,116,12th St W & Alpha St,12th Street West & Alpha Street,12th st w + alpha st,44.5698223,-80.9577543,residential | tertiary,2,B,86,high,highest visibility corner,flyer-only / later saturation,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80957754:44569822,,,,,,,,,
101,B,116,13th St A W & 4th Ave W,4th Avenue West & 13th Street A West,13th st a w + 4th ave w,44.5731268,-80.9508459,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80950846:44573127,,,,,,,,,
102,B,116,13th St A W & Alpha St,13th Street A West & Alpha Street,13th st a w + alpha st,44.5728107,-80.9541581,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80954158:44572811,,,,,,,,,
103,B,116,13th St W & 4th Ave W,13th Street West & 4th Avenue West,13th st w + 4th ave w,44.5720588,-80.9506088,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80950609:44572059,,,,,,,,,
104,B,116,14th St E & 16th Ave E,16th Avenue East & 14th Street East,14th st e + 16th ave e,44.573609,-80.9160637,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80916064:44573609,,,,,,,,,
105,B,116,14th St W & Alpha St,Alpha Street & 14th Street West,14th st w + alpha st,44.5739028,-80.9528439,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 7,1,-80952844:44573903,,,,,,,,,
106,B,116,16th Ave E & 17th St E,17th Street East & 16th Avenue East,16th ave e + 17th st e,44.5761289,-80.9166626,tertiary | unclassified,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80916663:44576129,,,,,,,,,
107,B,116,16th St W & 4th Ave W,4th Avenue West & 16th Street West,16th st w + 4th ave w,44.5764973,-80.9512984,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80951298:44576497,,,,,,,,,
108,B,116,17th St E & 28th Ave E,28th Avenue East & 17th Street East,17th st e + 28th ave e,44.5786216,-80.8955987,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80895599:44578622,,,,,,,,,
109,B,116,17th St E & 9th Ave E,9th Avenue East & 17th Street East,17th st e + 9th ave e,44.5757034,-80.9261945,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80926194:44575703,,,,,,,,,
110,B,116,17th St W & 4th Ave W,4th Avenue West & 17th Street West,17th st w + 4th ave w,44.5777442,-80.950879,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80950879:44577744,,,,,,,,,
111,B,116,18th St E & 28th Ave E,28th Avenue East & 18th Street East,18th st e + 28th ave e,44.5806887,-80.8960981,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80896098:44580689,,,,,,,,,
112,B,116,18th St E & 9th Ave E,9th Avenue East & 18th Street East,18th st e + 9th ave e,44.577571,-80.925478,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80925478:44577571,,,,,,,,,
113,B,116,18th St W & 4th Ave W,18th Street West & 4th Avenue West,18th st w + 4th ave w,44.57898,-80.9504425,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80950442:44578980,,,,,,,,,
114,B,116,19th St E & 9th Ave E,9th Avenue East & 19th Street East,19th st e + 9th ave e,44.5794761,-80.9247576,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80924758:44579476,,,,,,,,,
115,B,116,19th St W & 3rd Ave W,19th Street West & 3rd Avenue West,19th st w + 3rd ave w,44.5799595,-80.9486128,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80948613:44579960,,,,,,,,,
116,B,116,19th St W & 4th Ave W,4th Avenue West & 19th Street West,19th st w + 4th ave w,44.5802003,-80.9500564,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80950056:44580200,,,,,,,,,
117,B,116,1st Ave E & 8th St E,8th Street East & 1st Avenue East,1st ave e + 8th st e,44.5637849,-80.9438144,tertiary | unclassified,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80943814:44563785,,,,,,,,,
118,B,116,1st Ave W & 8th St W,8th Street West & 1st Avenue West,1st ave w + 8th st w,44.5636784,-80.9448026,tertiary | unclassified,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80944803:44563678,,,,,,,,,
119,B,116,1st Ave W & 9th St W,1st Avenue West & 9th Street West,1st ave w + 9th st w,44.565613,-80.9447054,tertiary | unclassified,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,1,-80944705:44565613,,,,,,,,,
120,B,116,1st St W & 4th Ave W,1st Street West & 4th Avenue West,1st st w + 4th ave w,44.549416,-80.94546445,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 8,2,-80945358:44548951 | -80945570:44549881,,,,,,,,,
121,B,116,20th St E & 23rd St E,23rd Street East & 20th Street East,20th st e + 23rd st e,44.5829213,-80.9078247,tertiary | unclassified,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80907825:44582921,,,,,,,,,
122,B,116,20th St E & 28th Ave E,20th Street East & 28th Avenue East,20th st e + 28th ave e,44.5841448,-80.8969331,tertiary | unclassified,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80896933:44584145,,,,,,,,,
123,B,116,20th St E & 9th Ave E,20th Street East & 9th Avenue East,20th st e + 9th ave e,44.5813356,-80.9240659,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80924066:44581336,,,,,,,,,
124,B,116,20th St W & 4th Ave W,4th Avenue West & 20th Street West,20th st w + 4th ave w,44.5814687,-80.9496629,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80949663:44581469,,,,,,,,,
125,B,116,21st St W & 4th Ave W,4th Avenue West & 21st Street West,21st st w + 4th ave w,44.5826593,-80.9492588,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80949259:44582659,,,,,,,,,
126,B,116,22nd St A E & 9th Ave E,9th Avenue East & 22nd Street A East,22nd st a e + 9th ave e,44.5851166,-80.9216864,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80921686:44585117,,,,,,,,,
127,B,116,22nd St B E & 9th Ave E,9th Avenue East & 22nd Street B East,22nd st b e + 9th ave e,44.5856883,-80.9214771,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80921477:44585688,,,,,,,,,
128,B,116,22nd St E & 9th Ave E,9th Avenue East & 22nd Street East,22nd st e + 9th ave e,44.5845459,-80.9218954,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80921895:44584546,,,,,,,,,
129,B,116,22nd St W & 4th Ave W,22nd Street West & 4th Avenue West,22nd st w + 4th ave w,44.5839239,-80.9488788,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80948879:44583924,,,,,,,,,
130,B,116,23rd St A E & 9th Ave E,9th Avenue East & 23rd Street A East,23rd st a e + 9th ave e,44.5868175,-80.9210433,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80921043:44586818,,,,,,,,,
131,B,116,23rd St E & 9th Ave E,9th Avenue East & 23rd Street East,23rd st e + 9th ave e,44.586184,-80.9212955,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80921295:44586184,,,,,,,,,
132,B,116,23rd St W & 4th Ave W,4th Avenue West & 23rd Street West,23rd st w + 4th ave w,44.5851589,-80.9484767,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80948477:44585159,,,,,,,,,
133,B,116,24th St W & 5th Ave W,24th Street West & 5th Avenue West,24th st w + 5th ave w,44.5873338,-80.9493363,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80949336:44587334,,,,,,,,,
134,B,116,24th St W & 6th Ave W,24th Street West & 6th Avenue West,24th st w + 6th ave w,44.5875718,-80.9507927,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80950793:44587572,,,,,,,,,
135,B,116,25th St A E & 9th Ave E,9th Avenue East & 25th Street A East,25th st a e + 9th ave e,44.5899929,-80.9198014,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 9,1,-80919801:44589993,,,,,,,,,
136,B,116,25th St E & 9th Ave E,9th Avenue East & 25th Street East,25th st e + 9th ave e,44.5888098,-80.920273,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80920273:44588810,,,,,,,,,
137,B,116,27th St E & 9th Ave E,27th Street East & 9th Avenue East,27th st e + 9th ave e,44.5929491,-80.9186702,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80918670:44592949,,,,,,,,,
138,B,116,28th St E & 9th Ave E,28th Street East & 9th Avenue East,28th st e + 9th ave e,44.5936957,-80.9183895,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80918389:44593696,,,,,,,,,
139,B,116,2nd Ave E & 7th St E,2nd Avenue East & 7th Street East,2nd ave e + 7th st e,44.5620464,-80.9419718,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80941972:44562046,,,,,,,,,
140,B,116,2nd Ave W & 6th St W,2nd Avenue West & 6th Street West,2nd ave w + 6th st w,44.5598279,-80.9449602,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,2,-80944580:44560148 | -80945340:44559508,,,,,,,,,
141,B,116,2nd Ave W & 7th St W,2nd Avenue West & 7th Street West,2nd ave w + 7th st w,44.561717,-80.9448554,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80944855:44561717,,,,,,,,,
142,B,116,2nd Ave W & 8th St W,8th Street West & 2nd Avenue West,2nd ave w + 8th st w,44.563623,-80.9452645,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80945264:44563623,,,,,,,,,
143,B,116,2nd St W & 4th Ave W,4th Avenue West & 2nd Street West,2nd st w + 4th ave w,44.5516111,-80.9459654,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80945965:44551611,,,,,,,,,
144,B,116,3rd Ave W & 9th St W,3rd Avenue West & 9th Street West,3rd ave w + 9th st w,44.5653142,-80.9473522,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80947352:44565314,,,,,,,,,
145,B,116,3rd St A W & 4th Ave W,4th Avenue West & 3rd Street A West,3rd st a w + 4th ave w,44.5550075,-80.946734,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80946734:44555008,,,,,,,,,
146,B,116,4th Ave E & 8th St E,8th Street East & 4th Avenue East,4th ave e + 8th st e,44.5643679,-80.9387006,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80938701:44564368,,,,,,,,,
147,B,116,4th Ave W & 4th St W,4th Avenue West & 4th Street West,4th ave w + 4th st w,44.5556666,-80.9468814,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80946881:44555667,,,,,,,,,
148,B,116,4th Ave W & 6th Ave W,4th Avenue West & 6th Avenue West,4th ave w + 6th ave w,44.5480221,-80.9451566,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80945157:44548022,,,,,,,,,
149,B,116,4th Ave W & Moores Hill,4th Avenue West & Moores Hill,4th ave w + moores hill,44.5569728,-80.9471733,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80947173:44556973,,,,,,,,,
150,B,116,5th Ave E & 8th St E,8th Street East & 5th Avenue East,5th ave e + 8th st e,44.56457,-80.9368619,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 10,1,-80936862:44564570,,,,,,,,,
151,B,116,5th Ave W & 9th St W,9th Street West & 5th Avenue West,5th ave w + 9th st w,44.5648838,-80.9510379,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80951038:44564884,,,,,,,,,
152,B,116,6th Ave W & 9th St W,9th Street West & 6th Avenue West,6th ave w + 9th st w,44.5646551,-80.9530555,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80953056:44564655,,,,,,,,,
153,B,116,6th Ave W & Alpha St,Alpha Street & 6th Avenue West,6th ave w + alpha st,44.571935499999995,-80.955223,residential | tertiary,2,B,86,high,highest visibility corner,flyer-only / later saturation,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,2,-80954779:44572287 | -80955667:44571584,,,,,,,,,
154,B,116,7th Ave A W & Alpha St,Alpha Street & 7th Avenue A West,7th ave a w + alpha st,44.5702568,-80.957245,residential | tertiary,2,B,86,high,highest visibility corner,flyer-only / later saturation,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80957245:44570257,,,,,,,,,
155,B,116,7th Ave E & 8th St E,7th Avenue East & 8th Street East,7th ave e + 8th st e,44.5651292,-80.9322289,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80932229:44565129,,,,,,,,,
156,B,116,7th Ave W & 9th St W,9th Street West & 7th Avenue West,7th ave w + 9th st w,44.5644454,-80.9549775,residential | tertiary,2,B,86,high,highest visibility corner,flyer-only / later saturation,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80954977:44564445,,,,,,,,,
157,B,116,8th Ave E & 8th St E,8th Street East & 8th Avenue East,8th ave e + 8th st e,44.5654174,-80.9295841,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80929584:44565417,,,,,,,,,
158,B,116,8th Ave W & Alpha St,Alpha Street & 8th Avenue West,8th ave w + alpha st,44.5697158,-80.9578791,residential | tertiary,2,B,86,high,highest visibility corner,flyer-only / later saturation,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80957879:44569716,,,,,,,,,
159,B,116,9th Ave E & Bayfield,Bayfield & 9th Avenue East,9th ave e + bayfield,44.5844227,-80.9219405,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80921941:44584423,,,,,,,,,
160,B,116,9th Ave E & Bayfield,9th Avenue East & Bayfield,9th ave e + bayfield,44.5832964,-80.9226593,residential | tertiary,2,B,86,high,highest visibility corner,visit when nearby; flyer first,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80922659:44583296,,,,,,,,,
161,B,116,9th Ave W & Alpha St,9th Avenue W & Alpha Street,9th ave w + alpha st,44.5681552,-80.9597354,residential | tertiary,2,B,86,high,highest visibility corner,flyer-only / later saturation,higher-order to neighbourhood connector; multiple street-front exposures,Day 11,1,-80959735:44568155,,,,,,,,,
162,B,105,3rd Ave W & Eddy Sargeant Parkway,3rd Avenue West & Eddy Sargeant Parkway,3rd ave w + eddy sargeant parkway,44.5835319,-80.9472745,secondary,2,A,95,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 11,1,-80947275:44583532,,,,,,,,,
163,B,105,E Bayshore Rd & Grey Rd 15,East Bayshore Road & Grey Road 15,e bayshore rd + grey rd 15,44.6084104,-80.9134758,secondary,2,A,95,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 11,1,-80913476:44608410,,,,,,,,,
164,B,103,16th Ave E & 18th Ave E,16th Avenue East & 18th Avenue East,16th ave e + 18th ave e,44.570903,-80.9154099,tertiary,3,A,93,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 11,1,-80915410:44570903,,,,,,,,,
165,B,93,14th St W & 4th Ave W,4th Avenue West & 14th Street West,14th st w + 4th ave w,44.5740922,-80.9510693,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 11,1,-80951069:44574092,,,,,,,,,
166,B,93,24th St W & 4th Ave W,4th Avenue West & 24th Street West,24th st w + 4th ave w,44.5870219,-80.9479534,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80947953:44587022,,,,,,,,,
167,B,93,28th St E & 3rd Ave E,3rd Avenue East & 28th Street East,28th st e + 3rd ave e,44.594081,-80.9204901,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80920490:44594081,,,,,,,,,
168,B,93,2nd Ave E & 8th St E,2nd Avenue East & 8th Street East,2nd ave e + 8th st e,44.5639429,-80.9424071,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80942407:44563943,,,,,,,,,
169,B,93,2nd Ave E & 9th St E,9th Street East & 2nd Avenue East,2nd ave e + 9th st e,44.5658331,-80.9428321,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80942832:44565833,,,,,,,,,
170,B,93,2nd Ave W & 9th St W,9th Street West & 2nd Avenue West,2nd ave w + 9th st w,44.5654965,-80.9457016,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80945702:44565497,,,,,,,,,
171,C,93,8th Ave W & 9th St W,9th Street West & 8th Avenue West,8th ave w + 9th st w,44.5640312,-80.9590099,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80959010:44564031,,,,,,,,,
172,C,93,8th St E & 8th St W,8th Street East & 8th Street West,8th st e + 8th st w,44.5637536,-80.9441008,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80944101:44563754,,,,,,,,,
173,C,93,9th St W,9th Street West & 9th Street W,9th st w,44.5656706,-80.9441792,tertiary,2,B,83,high,highest visibility corner,flyer-only / later saturation,multiple street-front exposures,Day 12,1,-80944179:44565671,,,,,,,,,
174,C,58,10th Concession S & 28th Ave E & Superior St,28th Avenue East & 10th Concession South & Superior Street,10th concession s + 28th ave e + superior st,44.5621827,-80.8918694,residential | unclassified,3,B,78,high,neighbourhood connector corner,flyer-only / later saturation,multiple street-front exposures; mostly local-street exposure,Day 12,1,-80891869:44562183,,,,,,,,,
