site,household,module,household_food_gj_year,perennial_food_percent,annual_food_percent,livestock_food_percent,protein_coverage_percent,annual_crop_area_ha,perennial_food_area_ha,livestock_feed_area_ha,woody_heating_area_ha,total_food_feed_heat_area_ha,recurring_labour_hours_year,food_energy_without_annual_soil_preparation_percent
ordinary_mesic,two_adults_plus_one_child,plants_plus_chickens_rabbits,10.239806,69.558,23.186,7.256,80.134,0.104795,0.966014,0.11252,0.347641,1.53097,453.37,71.004
ordinary_mesic,two_adults_plus_two_children,plants_only,14.050693,75,25,0,51.015,0.155045,1.429235,0,0.347641,1.931922,390.85,75
ordinary_mesic,two_adults_plus_two_children,plants_plus_chickens,14.050693,72.609,24.203,3.188,63.431,0.150102,1.383665,0.04252,0.347641,1.923928,498.39,72.928
ordinary_mesic,two_adults_plus_two_children,plants_plus_rabbits,14.050693,73.425,24.475,2.1,63.587,0.15179,1.399228,0.07,0.347641,1.968659,562.65,74.16
ordinary_mesic,two_adults_plus_two_children,plants_plus_chickens_rabbits,14.050693,71.034,23.678,5.288,76.003,0.146847,1.353657,0.11252,0.347641,1.960665,670.18,72.088
ordinary_mesic,two_adults_plus_three_children,plants_only,16.677312,75,25,0,53.797,0.184029,1.696415,0,0.347641,2.228085,365.98,75
ordinary_mesic,two_adults_plus_three_children,plants_plus_chickens,16.677312,72.985,24.328,2.686,64.828,0.179086,1.650844,0.04252,0.347641,2.220091,476.15,73.254
ordinary_mesic,two_adults_plus_three_children,plants_plus_rabbits,16.677312,73.673,24.558,1.769,64.967,0.180774,1.666407,0.07,0.347641,2.264823,539.51,74.292
ordinary_mesic,two_adults_plus_three_children,plants_plus_chickens_rabbits,16.677312,71.659,23.886,4.455,75.997,0.175831,1.620837,0.11252,0.347641,2.256829,649.68,72.546
dry,one_adult,plants_only,3.375074,75,25,0,42.041,0.049657,0.45775,0,0.579401,1.086808,94.27,75
dry,one_adult,plants_plus_chickens,3.375074,65.045,21.682,13.274,84.637,0.043066,0.396989,0.056693,0.579401,1.076149,201.76,66.372
dry,one_adult,plants_plus_rabbits,3.375074,68.445,22.815,8.741,85.173,0.045317,0.41774,0.093333,0.579401,1.135791,266.03,71.504
dry,one_adult,plants_plus_chickens_rabbits,3.375074,58.489,19.496,22.014,127.769,0.038726,0.356979,0.150027,0.579401,1.125132,373.52,62.876
