stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,61,A,28th Avenue East & 8th Street East,10,44.5695638,-80.8935286,,,
2,62,A,28th Street East & East Bay Shore Road,10,44.5948788,-80.9237231,,,
3,63,A,3rd Avenue West & 28th Street West,10,44.591731,-80.9448553,,,
4,64,A,3rd Avenue West & 29th Street West,10,44.5930002,-80.9444635,,,
5,65,A,2nd Avenue East & 2nd Avenue West,10,44.5561218,-80.9406423,,,
6,66,A,2nd Avenue East & 2nd Street East,10,44.5522245,-80.9397668,,,
7,67,A,2nd Avenue East & 2nd Street West,10,44.5521082,-80.9397381,,,
8,68,A,3rd Street West & 2nd Avenue East,10,44.5550534,-80.9404115,,,
9,69,A,2nd Avenue East & 4th Street A East,10,44.5574631,-80.9409347,,,
10,70,A,2nd Avenue East & 4th Street B East,10,44.5580327,-80.9410686,,,
11,71,B,2nd Avenue East & 4th Street East,8,44.5565501,-80.9407346,,,
12,72,B,4th Street West & 2nd Avenue East,8,44.5569532,-80.9408197,,,
13,73,B,2nd Avenue East & 5th Street East,8,44.5585676,-80.9411929,,,
14,74,B,2nd Avenue East & Beattie Street,8,44.554335,-80.9402645,,,
15,75,B,3rd Avenue East & 6th Street East,8,44.5603665,-80.9396889,,,
