stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,46,A,12th Street West & 2nd Avenue West,10,44.5715629,-80.9470603,,,
2,47,A,13th Street East & 3rd Avenue East,10,44.5731642,-80.9380969,,,
3,48,A,13th Street West & 2nd Avenue West,10,44.5725298,-80.94726940000001,,,
4,49,A,14th Street East & 3rd Avenue East,10,44.574897,-80.9369175,,,
5,50,A,28th Avenue East & 15th Street East,10,44.5749112,-80.8947282,,,
6,51,A,3rd Avenue East & 15th Street East,10,44.5756127,-80.9364281,,,
7,52,A,16th Street East & 3rd Avenue East,10,44.5760962,-80.9361079,,,
8,53,A,3rd Avenue East & 17th Street East,10,44.5767357,-80.9356887,,,
9,54,A,1st Street East & 2nd Avenue East,10,44.5514773,-80.9395937,,,
10,55,A,1st Street West & 2nd Avenue East,10,44.5515929,-80.9396227,,,
11,56,A,20th Street West & Eddy Sargeant Parkway,10,44.5811043,-80.9479728,,,
12,57,A,3rd Avenue West & 23rd Street West,10,44.5849177,-80.9469588,,,
13,58,A,3rd Avenue West & 24th Street West,10,44.5868503,-80.946375,,,
14,59,A,26th Street West & 3rd Avenue West,10,44.5892892,-80.9455464,,,
15,60,A,3rd Avenue West & 27th Street West,10,44.5905382,-80.9451555,,,
