stop_order,global_rank,daily_tier,intersection_name,connected_way_names,priority_reason,recommended_action,lat,lon,visited,response,sign_followup,sign_permission,notes
1,121,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
2,122,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
3,123,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
4,124,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
5,125,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
6,126,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
7,127,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
8,128,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
9,129,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
10,130,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
11,131,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
12,132,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
13,133,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
14,134,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
15,135,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
