stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,91,B,4th Avenue West & 12th Street West,8,44.5711538,-80.9504124,,,
2,92,B,12th Street West & Alpha Street,8,44.5698223,-80.9577543,,,
3,93,B,4th Avenue West & 13th Street A West,8,44.5731268,-80.9508459,,,
4,94,B,13th Street A West & Alpha Street,8,44.5728107,-80.9541581,,,
5,95,B,13th Street West & 4th Avenue West,8,44.5720588,-80.9506088,,,
6,96,B,16th Avenue East & 14th Street East,8,44.573609,-80.9160637,,,
7,97,B,Alpha Street & 14th Street West,8,44.5739028,-80.9528439,,,
8,98,B,17th Street East & 16th Avenue East,8,44.5761289,-80.9166626,,,
9,99,B,4th Avenue West & 16th Street West,8,44.5764973,-80.9512984,,,
10,100,B,28th Avenue East & 17th Street East,8,44.5786216,-80.8955987,,,
11,101,B,9th Avenue East & 17th Street East,8,44.5757034,-80.9261945,,,
12,102,B,4th Avenue West & 17th Street West,8,44.5777442,-80.950879,,,
13,103,B,28th Avenue East & 18th Street East,8,44.5806887,-80.8960981,,,
14,104,B,9th Avenue East & 18th Street East,8,44.577571,-80.925478,,,
15,105,B,18th Street West & 4th Avenue West,8,44.57898,-80.9504425,,,
