stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,16,S,3rd Avenue West & 4th Avenue West & 15th Street West,12,44.57484325,-80.95165080000001,,,
2,17,S,16th Street East & 16th Avenue East,12,44.57481115,-80.91634739999999,,,
3,18,S,20th Street East & 23rd Street East & 16th Avenue East,12,44.5817581,-80.9180844,,,
4,19,S,18th Avenue East & 16th Street East,12,44.575192325,-80.913110075,,,
5,20,S,20th Avenue East & 16th Street East,12,44.5757839,-80.9077024,,,
6,21,A,16th Street East & 27th Avenue East,10,44.5769102,-80.8980521,,,
7,22,A,28th Avenue East & 16th Street East & Highway 26,10,44.577267,-80.8952565,,,
8,23,A,3rd Avenue East & 18th Street East & 4th Avenue East,10,44.5783659,-80.9347409,,,
9,24,A,1st Avenue East & 9th Street East & 9th Street W,10,44.5657066,-80.9438049,,,
10,25,A,2nd Avenue SE & 1st Street SW & 2nd Avenue East,10,44.5462749,-80.9409075,,,
11,26,A,4th Avenue SW & 4th Avenue West & 1st Street SW,10,44.5458807,-80.9446594,,,
12,27,A,6th Street East & 2nd Avenue East & 5th Street A East,10,44.5601464,-80.941538,,,
13,28,A,6th Street West & Moores Hill & 2nd Avenue West,10,44.5582165,-80.9454095,,,
14,29,A,East Bayshore Road & 32nd Street East & East Bay Shore Road,10,44.6017183,-80.9201229,,,
15,30,A,9th Street East & 3rd Avenue East,10,44.5660518,-80.9409664,,,
