stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,31,A,4th Avenue West & 3rd Street West & 4th Avenue W,10,44.5534956,-80.9463955,,,
2,32,A,4th Avenue West & Beattie Street & 4th Avenue W,10,44.5536419,-80.9464288,,,
3,33,A,6th Street East & 9th Avenue East,10,44.5618779,-80.9265788,,,
4,34,A,7th Street East & 9th Avenue East,10,44.5637568,-80.9270151,,,
5,35,A,9th Avenue East & 8th Street A East,10,44.5663963,-80.9276413,,,
6,36,A,8th Street East & 9th Avenue East,10,44.5656475,-80.9274605,,,
7,37,A,9th Street East & 9th Avenue East,10,44.5675405,-80.9279175,,,
8,38,A,Superior Street & 9th Avenue East & Highway 6/10,10,44.558404,-80.9257748,,,
9,39,A,8th Street East & 16th Avenue East,10,44.5671551,-80.9145964,,,
10,40,A,Eddy Sargeant Parkway & 19th Street West,10,44.5798895,-80.9476309,,,
11,41,A,East Bay Shore Road & 3rd Avenue East,10,44.592606700000005,-80.92401295,,,
12,42,A,10th Avenue East & 8th Street East,10,44.5660351,-80.9241573,,,
13,43,A,8th Street East & 11th Avenue East,10,44.5661762,-80.9228918,,,
14,44,A,11th Street West & 2nd Avenue West,10,44.5691994,-80.9465261,,,
15,45,A,12th Street East & 3rd Avenue East,10,44.5714636,-80.9391965,,,
