stop_order,global_rank,daily_tier,intersection_name,connected_way_names,priority_reason,recommended_action,lat,lon,visited,response,sign_followup,sign_permission,notes
1,31,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
2,32,A,Node ,,two+ higher-order roads; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
3,33,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
4,34,A,Node ,,two+ higher-order roads; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
5,35,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
6,36,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit first; highest sign ask potential,,,,,,,
7,37,A,Node ,,two+ higher-order roads; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
8,38,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
9,39,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
10,40,A,Node ,,two+ higher-order roads; multiple street-front exposures,visit first; highest sign ask potential,,,,,,,
11,41,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit first; highest sign ask potential,,,,,,,
12,42,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
13,43,A,Node ,,two+ higher-order roads; multiple street-front exposures,visit first; highest sign ask potential,,,,,,,
14,44,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit early; good sign ask potential,,,,,,,
15,45,A,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit first; highest sign ask potential,,,,,,,
