stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,166,B,4th Avenue West & 24th Street West,8,44.5870219,-80.9479534,,,
2,167,B,3rd Avenue East & 28th Street East,8,44.594081,-80.9204901,,,
3,168,B,2nd Avenue East & 8th Street East,8,44.5639429,-80.9424071,,,
4,169,B,9th Street West & 8th Avenue West,8,44.5640312,-80.9590099,,,
5,170,B,8th Street East & 8th Street West,8,44.5637536,-80.9441008,,,
