stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,121,B,22nd Street West & 4th Avenue West,8,44.5839239,-80.9488788,,,
2,122,B,9th Avenue East & 23rd Street A East,8,44.5868175,-80.9210433,,,
3,123,B,9th Avenue East & 23rd Street East,8,44.586184,-80.9212955,,,
4,124,B,4th Avenue West & 23rd Street West,8,44.5851589,-80.9484767,,,
5,125,B,24th Street West & 5th Avenue West,8,44.5873338,-80.9493363,,,
6,126,B,24th Street West & 6th Avenue West,8,44.5875718,-80.9507927,,,
7,127,B,9th Avenue East & 25th Street A East,8,44.5899929,-80.9198014,,,
8,128,B,9th Avenue East & 25th Street East,8,44.5888098,-80.920273,,,
9,129,B,27th Street East & 9th Avenue East,8,44.5929491,-80.9186702,,,
10,130,B,28th Street East & 9th Avenue East,8,44.5936957,-80.9183895,,,
11,131,B,2nd Avenue East & 7th Street East,8,44.5620464,-80.9419718,,,
12,132,B,2nd Avenue West & 6th Street West,8,44.5598279,-80.9449602,,,
13,133,B,2nd Avenue West & 7th Street West,8,44.561717,-80.9448554,,,
14,134,B,8th Street West & 2nd Avenue West,8,44.563623,-80.9452645,,,
15,135,B,4th Avenue West & 2nd Street West,8,44.5516111,-80.9459654,,,
