stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,76,B,3rd Avenue East & 7th Street East,8,44.5622615,-80.9401188,,,
2,77,B,6th Street East & 4th Avenue East,8,44.5605728,-80.9378634,,,
3,78,B,6th Street East & 5th Avenue East,8,44.5606842,-80.9368684,,,
4,79,B,6th Street East & 7th Avenue East,8,44.561279299999995,-80.93162595000001,,,
5,80,B,6th Street East & 8th Avenue East,8,44.5616259,-80.928704,,,
6,81,B,9th Avenue A East & 8th Street East,8,44.5659396,-80.9250387,,,
7,82,B,Lamson Crescent & 10th Street East,8,44.57022815,-80.92151,,,
8,83,B,9th Avenue East & 26th Street East,8,44.5907467,-80.9195133,,,
9,84,B,10th Avenue East & 10th Street East,8,44.5698361,-80.9250872,,,
10,85,B,10th Avenue East & 10th Street East,8,44.5696584,-80.9266144,,,
11,86,B,11th Avenue East & 10th Street East,8,44.5699752,-80.923802,,,
12,87,B,4th Avenue West & 11th Street A West,8,44.5696571,-80.9500676,,,
13,88,B,4th Avenue West & 11th Street B West,8,44.5702928,-80.9502174,,,
14,89,B,11th Street West & 4th Avenue West,8,44.568817,-80.9498729,,,
15,90,B,Alpha Street & 11th Street West,8,44.5676762,-80.9602819,,,
