stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,1,S,1st Avenue East & 10th Street East & 10th Street West,12,44.5676543,-80.943931,,,
2,2,S,2nd Avenue East & 10th Street East,12,44.5677225,-80.9432324,,,
3,3,S,3rd Avenue East & 10th Street East,12,44.5679303,-80.9414077,,,
4,4,S,4th Avenue East & 10th Street East,12,44.5681479,-80.939556,,,
5,5,S,5th Avenue East & 10th Street East,12,44.5683714,-80.9377238,,,
6,6,S,10th Street East & 6th Avenue East,12,44.5688037,-80.9344327,,,
7,7,S,7th Avenue East & 10th Street East,12,44.56895765,-80.93308215,,,
8,8,S,8th Avenue East & 10th Street East,12,44.56921035,-80.930824,,,
9,9,S,10th Street East & 9th Avenue East & 9th Street East,12,44.569464800000006,-80.9283597,,,
10,10,S,4th Avenue West & 10th Street West,12,44.5670305,-80.9494409,,,
11,11,S,10th Street West & 6th Avenue West,12,44.5670324,-80.9535993,,,
12,12,S,11th Street East & 3rd Avenue East,12,44.5697259,-80.9403345,,,
13,13,S,12th Avenue East & 16th Street East & 12th Avenue E,12,44.5739954,-80.9232356,,,
14,14,S,Eddy Sargeant Parkway & 2nd Avenue West & 14th Street West,12,44.5733744,-80.947472,,,
15,15,S,15th Street A East & 9th Avenue East,12,44.5720207,-80.9276148,,,
